imputation_level,min_support,holdout_rows,covered_rows,coverage_pct,mae,median_absolute_error,p90_absolute_error,average_support
region_market,5,2583160,2567747,99.40332770714939,77.36576947181644,15.482700000000008,143.0035,23098.237257019482
region_destination,50,2583160,2206028,85.40036234689295,75.01406027652394,15.181799999999953,145.50262999999987,11688.184038008583
region_market,10,2583160,2551431,98.77169823007479,77.3289031660853,15.579399999999993,143.24749999999995,23245.902266218447
city_destination,100,2583160,1059897,41.03102401709534,29.667311791051535,0.7019000000000233,7.905140000000039,1701.4837253053834
region_destination,3,2583160,2529008,97.90365289025844,73.35195634626302,13.56555000000003,140.70704500000005,10198.108849398657
country_hotel_country,10,2583160,2582863,99.98850245435823,586.901013190775,387.27639999999997,1480.0369500000006,6084183.112238241
city_market,5,2583160,2398734,92.86044999148329,34.43370654507777,0.9623999999998887,12.27539999999999,1679.3660305811316
country_destination,5,2583160,2567236,99.38354573468155,473.72275261769437,270.23514999999963,1253.2429000000002,78865.68406099011
city_destination,50,2583160,1322684,51.204106598120134,30.842409926331655,0.7011000000002241,8.120640000000268,1377.6440049172743
city_market,10,2583160,2261090,87.5319376267827,34.86198149253257,0.9751999999999725,12.211610000000498,1781.17898535662
country_destination,10,2583160,2555419,98.92608278232862,474.8813545351035,271.84809999999993,1254.5622199999998,79230.34994613408
region_destination,5,2583160,2498293,96.7146053670698,73.69636588508637,13.776949999999943,141.26829999999995,10323.445705928008
country_market,100,2583160,2558904,99.06099506031373,483.3463968647327,285.4735,1267.7830000000001,169238.73600533666
country_hotel_country,1,2583160,2583136,99.99907090540269,586.8485879563889,387.23285,1479.9896999999999,6083540.102882697
city_market,100,2583160,1504499,58.24257885690395,34.165064996852635,0.9560999999998785,11.214199999999892,2655.966763686782
region_market,3,2583160,2574350,99.65894485823564,77.342257845067,15.43510000000009,142.90621000000027,23039.001098141278
country_destination,100,2583160,2451602,94.90709054026851,482.1172623715397,281.65587500000004,1264.3602,82583.46053152184
country_hotel_country,50,2583160,2581678,99.9426284086158,587.1043275520279,387.3833500000001,1480.3257750000005,6086975.762346814
city_destination,20,2583160,1684076,65.19441304448814,31.19369761890217,0.6836000000001832,8.122749999999996,1088.9227606117538
region_destination,1,2583160,2565333,99.30987627556945,72.91908150162175,13.26680000000033,139.84848000000002,10053.725071949724
country_hotel_country,5,2583160,2583017,99.994464144691,586.8735966889743,387.2536,1480.0118900000002,6083820.37241257
city_destination,3,2583160,2311937,89.50034066801902,28.62709275315475,0.6204000000000178,7.587469999999856,795.6663624484577
region_destination,100,2583160,2061712,79.8135616841388,75.129448970152,15.619199999999978,148.01689000000002,12501.27616272302
country_market,5,2583160,2581903,99.95133867046563,480.69226725343776,282.48199999999997,1263.72142,167731.64133393083
city_destination,1,2583160,2486573,96.26089750538101,27.604402738246723,0.5894999999999868,7.375039999999731,739.8885047814804
region_destination,20,2583160,2355633,91.19191223153037,74.60499964338672,14.575800000000008,143.16668,10947.974343626533
country_market,10,2583160,2580450,99.89508973505319,480.9022574907876,282.72045,1264.092695,167826.08371485592
city_market,3,2583160,2467926,95.5390297155422,34.14512100077173,0.9544000000000779,12.295600000000036,1632.3801041846473
region_market,100,2583160,2370784,91.7784419083603,76.41032167367389,16.215449999999976,145.87914000000023,25013.499735108722
country_destination,3,2583160,2573155,99.61268368974434,473.09012672700976,269.3528,1252.6429400000002,78684.27820516059
city_market,20,2583160,2073922,80.28623856052278,35.34825402237896,0.9812000000001717,12.0562,1940.6515640414634
region_market,1,2583160,2580573,99.89985134486443,77.325174980556,15.392500000000155,142.79340000000002,22983.44666785245
country_destination,20,2583160,2536805,98.20549249756112,476.38886315248527,274.03520000000003,1256.5748999999998,79811.60399518292
city_destination,5,2583160,2176309,84.24987224949287,29.410859072838583,0.637749999999869,7.741920000000171,845.0364217581235
country_market,3,2583160,2582472,99.97336595487697,480.6112637430155,282.3992,1263.6309649999996,167694.68553231168
country_hotel_country,20,2583160,2582553,99.9765016491429,586.9601726782817,387.292,1480.145580000001,6084913.433050938
city_market,1,2583160,2544350,98.49757661159201,33.81549556008433,0.9421000000002095,12.325509999999904,1583.3934395818185
region_market,20,2583160,2521303,97.60537481224547,77.27083810712085,15.727899999999977,143.65498000000014,23523.50471165108
country_destination,1,2583160,2579891,99.87344957339073,472.28586658104496,268.3705,1251.8403000000003,78478.84031185813
country_market,50,2583160,2570281,99.50142461171588,482.15351676896506,284.25890000000004,1265.9301000000005,168489.95252853676
region_destination,10,2583160,2438088,94.38393285743044,74.19890277797602,14.151400000000365,141.9916,10578.198263967502
region_market,50,2583160,2452422,94.93883460567677,76.93611605290548,15.98722500000008,144.61804999999998,24183.264421865406
country_market,20,2583160,2577756,99.79079886650459,481.26865839542324,283.18809999999996,1264.8175999999999,168001.46291503153
country_hotel_country,3,2583160,2583081,99.99694173028384,586.8603906803985,387.243,1480.0086999999999,6083669.636033481
city_destination,10,2583160,1945846,75.32812524195172,30.38503350948645,0.6630499999998847,7.971099999999865,944.3160065082232
city_market,50,2583160,1766661,68.39146626612366,35.06628822683019,0.9750999999999976,11.661600000000007,2272.4924136549116
country_destination,50,2583160,2498126,96.70814041716348,479.21875604062393,277.8623,1260.6245,81046.82626777032
country_market,1,2583160,2582971,99.99268338004615,480.5341133522222,282.3073,1263.5057500000003,167662.28915423364
country_hotel_country,100,2583160,2580411,99.89357995633256,587.3044757930477,387.5225,1480.6136999999999,6089964.473647027
